date,cot_noncomm_net,cot_noncomm_net_pct_oi,cot_comm_net,cot_comm_net_pct_oi,cot_noncomm_net_change_1w,cot_noncomm_net_ma_4w,cot_noncomm_trader_count
2012-09-04,170464,0.3835055535682548,-219386,-0.4935690197057745,11973.0,143485.75,257
2012-09-11,182016,0.3952307227960767,-237091,-0.5148209349642043,11552.0,160413.75,260
2012-09-18,191115,0.39931342703542977,-249633,-0.5215802460881429,9099.0,175521.5,273
2012-09-25,203896,0.41652571111056635,-262355,-0.5359477524738722,12781.0,186872.75,264
2012-10-02,208326,0.4331930431600223,-269270,-0.5599199846956174,4430.0,196338.25,279
2012-10-09,211949,0.43758658350520996,-266988,-0.5512192402742594,3623.0,203821.5,282
2012-10-16,194020,0.4192072182634511,-247383,-0.5345054080799264,-17929.0,204547.75,279
2012-10-23,182043,0.39936073500118463,-232665,-0.510413833045218,-11977.0,199084.5,268
2012-10-30,170222,0.37432654120358355,-222764,-0.48986898065276574,-11821.0,189558.5,264
2012-11-06,160173,0.35820545047120234,-207742,-0.46458714447371596,-10049.0,176614.5,269
2012-11-13,171594,0.37322434917272235,-224795,-0.4889388182120711,11421.0,171008.0,272
2012-11-20,180815,0.38136245620917514,-236064,-0.4978898147972387,9221.0,170701.0,279
2012-11-27,200407,0.41806067509016986,-258712,-0.5396883011767455,19592.0,178247.25,261
2012-12-04,165736,0.3815144930205149,-217596,-0.5008931531066996,-34671.0,179638.0,262
2012-12-11,163699,0.3775467842596394,-214880,-0.49558795717573906,-2037.0,177664.25,256
2012-12-18,157781,0.3620972961064116,-202134,-0.4638845922587219,-5918.0,171905.75,260
2012-12-24,150096,0.3520900774102745,-187664,-0.4402158104621159,-7685.0,159328.0,253
2012-12-31,148519,0.3470143063756014,-188659,-0.4408013252615125,-1577.0,155023.75,244
2013-01-08,142808,0.32360459003317443,-178472,-0.40441962909921503,-5711.0,149801.0,261
2013-01-15,145116,0.3240838549890235,-185113,-0.4134081331388896,2308.0,146634.75,252
2013-01-22,151897,0.32923104933361363,-195950,-0.4247142742576983,6781.0,147085.0,256
2013-01-29,126948,0.29473576678940744,-167097,-0.38794988832600447,-24949.0,141692.25,256
2013-02-05,137465,0.3242236698727776,-174607,-0.41182644546230734,10517.0,140356.5,258
2013-02-12,126835,0.2915157393446843,-160653,-0.36924254403706835,-10630.0,135786.25,260
2013-02-19,103651,0.2317310916854837,-132082,-0.2952938809273626,-23184.0,123724.75,287
2013-02-26,116599,0.26874922209570873,-137620,-0.3172005587081487,12948.0,121137.5,262
2013-03-05,107587,0.24756204755790567,-133798,-0.3078746209035726,-9012.0,113668.0,271
2013-03-12,114507,0.2569432134113914,-142121,-0.3189064985829719,6920.0,110586.0,274
